                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                0.48144,                0.32423,                0.91496,                0.84668,                      1,                0.96993,                0.81828,                0.70252,                 2.7674,                0.90546,             0.00010572,             0.00010572,             0.00010572
                     87,                0.46679,                0.32351,                0.91299,                0.86877,                      1,                0.98003,                0.82683,                 0.6895,                 3.1631,                0.90255,             9.9116e-05,             9.9116e-05,             9.9116e-05
                     88,                0.45033,                0.31763,                0.91205,                0.85142,                      1,                0.97119,                0.82863,                0.66308,                 3.4124,                 0.8923,             9.2513e-05,             9.2513e-05,             9.2513e-05
                     89,                 0.4551,                0.32045,                 0.9144,                0.84654,                      1,                0.97516,                0.83068,                 0.7115,                 3.2685,                0.90585,              8.591e-05,              8.591e-05,              8.591e-05
                     90,                0.31479,                0.21832,                 0.8355,                0.85044,                0.98889,                0.96654,                0.80685,                0.70239,                 3.4083,                0.91201,             7.9306e-05,             7.9306e-05,             7.9306e-05
                     91,                0.32045,                0.21968,                0.84007,                0.84953,                0.99296,                0.95932,                0.80318,                0.71089,                 3.2649,                0.91178,             7.2703e-05,             7.2703e-05,             7.2703e-05
                     92,                0.29738,                 0.2106,                0.84121,                0.86135,                0.99819,                0.96916,                 0.8111,                 0.7149,                 3.2012,                0.91063,               6.61e-05,               6.61e-05,               6.61e-05
                     93,                0.30571,                0.21102,                0.83564,                 0.8643,                      1,                0.97215,                0.81713,                 0.7121,                 3.1518,                0.91502,             5.9496e-05,             5.9496e-05,             5.9496e-05
                     94,                0.29473,                 0.2083,                0.83905,                0.86158,                      1,                0.96604,                0.81514,                0.69848,                 3.1405,                0.91239,             5.2893e-05,             5.2893e-05,             5.2893e-05
                     95,                 0.3034,                0.20586,                0.84404,                0.85318,                      1,                0.96508,                0.81409,                0.71307,                 3.1979,                0.92443,              4.629e-05,              4.629e-05,              4.629e-05
                     96,                0.29248,                0.20443,                0.83658,                 0.8515,                      1,                0.97399,                0.81014,                0.73064,                 3.2693,                0.92743,             3.9687e-05,             3.9687e-05,             3.9687e-05
                     97,                0.28805,                0.20092,                0.82991,                 0.8381,                      1,                0.97613,                0.82564,                0.70386,                 3.2235,                0.92287,             3.3083e-05,             3.3083e-05,             3.3083e-05
                     98,                0.28309,                0.20528,                0.82512,                0.83646,                      1,                0.96835,                0.81558,                0.70622,                 3.4007,                0.91832,              2.648e-05,              2.648e-05,              2.648e-05
                     99,                0.28108,                0.19506,                0.83084,                0.84839,                      1,                0.96494,                0.81722,                0.68949,                 3.3408,                0.90986,             1.9877e-05,             1.9877e-05,             1.9877e-05
